Species,parent,child,variant
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,470uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,1000uMADP_2
ADP,2_ADP_variation_at_1420uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_1420uATP_1uMmicro_1400nM_A81D_2,1420uMADP_2
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,100uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,200uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,470uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,800uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,1000uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,1420uMADP
ADP,3_ADP_variation_at_50uMATP,Nikon_10X_bin1_20sFrameInterval_150ms405_100ms480_50uATP_1uMmicro_1400nM_A81D_1,5000uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,0uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,100uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,200uMADP_1
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,300uMADP
ADP,3_ADP_variation_at_100uMATP,Nikon_10X_bin1_20sFrameInterval_100ms480_150ms405_100uMATP_1uMmicro_1400nM_A81D_1,470uMADP_1
