child,FILE,POSITION,Note,Flag,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1.ome.tif,GOOD,pullsOutside144,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_1.ome.tif,GOOD,alreadyFormedStillMovementPulls,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_750uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2.ome.tif,GOOD,pullsOutside141,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_2.ome.tif,not in focus,alreadyFormed(outOfFocus),
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_1.ome.tif,not in focus,alreadyFormedStillMovementPulls(OutOfFocus),
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0.ome.tif,GOOD,pullsOutside142,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_2.ome.tif,not in focus,alreadyFormed(outOfFocus),
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_1.ome.tif,GOOD,alreadyFormedStillMovementPulls,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1.ome.tif,GOOD,pullsOutside180outOfFocus220,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_1.ome.tif,not in focus,alreadyFormedStillMovementPulls(OutOfFocus),
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_2.ome.tif,not in focus,alreadyFormed(OutOfFocus),
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1000uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2.ome.tif,GOOD,pullsOutside115outOfFocus221,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_1.ome.tif.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_2.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_3.ome.tif,not in focus (actually becomes better but still out of focus),,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0_4.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos0.ome.tif,GOOD,outOfFocus101,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_1.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_2.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_3.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1_4.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos1.ome.tif,GOOD,outOfFocus188,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2.ome.tif,GOOD,as in focus as it can be around ,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_1.ome.tif,GOOD,outOfFocus97,
Najma_ana-ATP-assays_10_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_2.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_3.ome.tif,not in focus,,
Najma_ana-ATP-assays_12_20_2024,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1,10X_20sInterval_0.5uMNcd-mCherry_1420uMATP_2.8uMA81D_uM-tubulin_1_MMStack_Pos2_4.ome.tif,not in focus,,
