directory,key,atp (uM),A81D (uM),Tubulin (uM),expo405 (ms),expo480 (ms),interval (s),rep,pos,date,stop_idx
../../data/atp_cal/photobleaching/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 2, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,2,1,02_06_2025,200
../../data/atp_cal/photobleaching/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 2, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,2,0,02_06_2025,200
../../data/atp_cal/photobleaching/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,1,0,02_06_2025,200
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 2, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,2,1,02_06_2025,200
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 2, 2, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,2,2,02_06_2025,200
../../data/atp_cal/photobleaching/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/10sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 10.0, 2, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,10.0,2,0,02_06_2025,200
../../data/atp_cal/photobleaching/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 0.5, 2, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,0.5,2,0,02_06_2025,200
../../data/atp_cal/photobleaching/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 1, 2, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,1,2,02_06_2025,200
../../data/atp_cal/photobleaching/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 1, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,1,1,02_06_2025,200
../../data/atp_cal/photobleaching/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/5sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 5.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,5.0,1,0,02_06_2025,200
../../data/atp_cal/photobleaching/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/500ms_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 0.5, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,0.5,1,0,02_06_2025,200
../../data/atp_cal/photobleaching/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp300ms_480exp320ms_1/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp300ms_480exp320ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 300.0, 320.0, 5.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,300.0,320.0,5.0,1,0,02_06_2025,200
../../data/atp_cal/photobleaching/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 1.0, 3, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,1.0,3,0,02_06_2025,200
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 2, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,2,02_06_2025,34
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 1, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,1,02_06_2025,34
../../data/atp_cal/photobleaching/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,0,02_06_2025,34
../../data/atp_cal/photobleaching/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp300ms_480exp320ms_2/5s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp300ms_480exp320ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 300.0, 320.0, 5.0, 2, 0, '02_06_2025')",500.0,2.8,1.3,300.0,320.0,5.0,2,0,02_06_2025,200
../../data/atp_cal/photobleaching/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/1sec_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 1.0, 1, 0, '02_06_2025')",500.0,2.8,1.3,150.0,160.0,1.0,1,0,02_06_2025,200
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 1, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,1,02-11-2025,180
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 0, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,0,02-11-2025,180
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_2_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 2, 2, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,2,2,02-11-2025,180
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_3_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 3, 0, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,3,0,02-11-2025,97
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos2.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 2, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,2,02-11-2025,200
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos1.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 1, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,1,02-11-2025,200
../../data/atp_cal/photobleaching/02-11-2025/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1/20s_10X_500uMATP_2.8uMA81D_Tubulin1.3uM_405exp150ms_480exp160ms_1_MMStack_Pos0.ome.tif,"(500.0, 2.8, 1.3, 150.0, 160.0, 20.0, 1, 0, '02-11-2025')",500.0,2.8,1.3,150.0,160.0,20.0,1,0,02-11-2025,200
